District,District_Encoded
Adilabad,0
Agar Malwa,1
Agra,2
Ahilyanagar,3
Ahmadnagar,4
Ahmedabad,5
Aizawl,6
Ajmer,7
Akola,8
Alappuzha,9
Aligarh,10
Alipurduar,11
Alirajpur,12
Allahabad,13
Alluri Sitharama Raju,14
Almora,15
Alwar,16
Ambala,17
Ambedkar Nagar,18
Amethi - CSM Nagar,19
Amethi - Csm Nagar,20
Amethi – CSM Nagar,21
Amravati,22
Amreli,23
Amritsar,24
Anakapalli,25
Anand,26
Anantapur,27
Ananthapuramu,28
Anantnag,29
Andamans,30
Angul,31
Anjaw,32
Annamayya,33
Anoopgarh,34
Anuppur,35
Araria,36
Aravalli,37
Ariyalur,38
Arwal,39
Ashoknagar,40
Auraiya,41
Aurangabad (Bihar),42
Aurangabad (Maharashtra),43
Azamgarh,44
Badgam,45
Bagalkot,46
Bagalkote,47
Bageshwar,48
Baghpat,49
Bahraich,50
Bajali,51
Baksa,52
Balaghat,53
Balangir,54
Balasore,55
Ballari,56
Ballia,57
Balod,58
Balodabazar,59
"Balodabazar-
Bhatapara",60
Balotara,61
Balrampur,62
Balrampur Cg,63
Balrampur Up,64
"Balrampur-
Ramanujganj",65
Banas Kantha,66
Banda,67
Bandipora,68
Banka,69
Bankura,70
Banswara,71
Bapatla,72
Barabanki,73
Baragarh,74
Baramula,75
Baramulla,76
Baran,77
Bareilly,78
Bargarh,79
Barmer,80
Barnala,81
Barpeta,82
Barwani,83
Baster,84
Basti,85
Bathinda,86
Beawar,87
Beed,88
Begusarai,89
Belagavi,90
Belagavi Chikkodi,91
Bemetara,92
Bengaluru Rural,93
Bengaluru U North,94
Bengaluru U South,95
"Bengaluru Urban
South",96
Bengaluru Urban North,97
Bengaluru Urban South,98
Betul,99
Bhadoi,100
Bhadradri,101
Bhadradri Kothagudem,102
Bhadrak,103
Bhagalpur,104
Bhandara,105
Bharatpur,106
Bharuch,107
Bhavnagar,108
Bhilwara,109
Bhind,110
Bhiwani,111
Bhojpur,112
Bhopal,113
Bid,114
Bidar,115
Bijapur,116
Bijnor,117
Bikaner,118
Bilaspur,119
Bilaspur (H.P.),120
Birbhum,121
Bishnupur,122
Biswanath,123
Bokaro,124
Bolangir,125
Bongaigaon,126
Botad,127
Boudh,128
Budaun,129
Bulandshahr,130
Buldana,131
Buldhana,132
Bundi,133
Burhanpur,134
Buxar,135
Cachar,136
Capital Complex Itanagar,137
Central,138
Central : 2018-19,139
Chamarajanagar,140
Chamarajanagara,141
Chamba,142
Chamoli,143
Champawat,144
Champhai,145
Chandauli,146
Chandel,147
Chandigarh,148
Chandrapur,149
Changlang,150
Charaideo,151
Charkhi Dadri,152
Chatra,153
Chengalpattu,154
Chennai,155
Chennai (Ext. Gcc),156
Chhatarpur,157
"Chhatrapati
Sambhajinagar",158
Chhatrapati Sambhajinagar,159
Chhindwara,160
Chhotaudepur,161
Chikkaballapura,162
Chikkamangaluru,163
Chirang,164
Chitradurga,165
Chitrakoot,166
Chittaurgarh,167
Chittoor,168
Churachandpur,169
Churu,170
