Overall_lag1,Overall_lag2,Overall_trend,Outcome_lag1,Outcome_lag2,Outcome_trend,ECT_lag1,ECT_lag2,IFSE_lag1,IFSE_lag2,SSCP_lag1,SSCP_lag2,DL_lag1,DL_lag2,GP_lag1,GP_lag2,Year,District_Encoded,Next_Grade
334.0,325.0,9.0,112.0,96.0,16.0,63.0,67.0,42.0,42.0,35.0,35.0,6.0,5.0,77.0,81.0,2020,0,3.0
300.0,334.0,-34.0,121.0,112.0,9.0,70.0,63.0,26.0,42.0,12.0,35.0,5.0,6.0,66.0,77.0,2021,0,4.0
276.0,300.0,-24.0,84.0,121.0,-37.0,67.0,70.0,32.0,26.0,25.0,12.0,3.0,5.0,64.0,66.0,2022,0,4.0
350.0,362.0,-12.0,161.0,171.0,-10.0,80.0,79.0,33.0,33.0,35.0,35.0,5.0,1.0,36.0,41.0,2020,1,2.0
349.0,350.0,-1.0,156.0,161.0,-5.0,83.0,80.0,32.0,33.0,30.0,35.0,5.0,5.0,43.0,36.0,2021,1,4.0
309.0,349.0,-40.0,110.0,156.0,-46.0,79.0,83.0,32.0,32.0,30.0,30.0,6.0,5.0,52.0,43.0,2022,1,3.0
371.0,364.0,7.0,150.0,148.0,2.0,78.0,74.0,39.0,41.0,35.0,34.0,8.0,5.0,61.0,61.0,2020,2,2.0
372.0,371.0,1.0,152.0,150.0,2.0,78.0,78.0,40.0,39.0,34.0,35.0,8.0,8.0,60.0,61.0,2021,2,4.0
311.0,372.0,-61.0,108.0,152.0,-44.0,71.0,78.0,34.0,40.0,33.0,34.0,9.0,8.0,56.0,60.0,2022,2,3.0
373.0,371.0,2.0,177.0,186.0,-9.0,78.0,78.0,30.0,30.0,21.0,11.0,27.0,25.0,40.0,40.0,2020,4,5.0
413.0,378.0,35.0,161.0,162.0,-1.0,74.0,68.0,38.0,39.0,33.0,30.0,28.0,26.0,79.0,53.0,2020,5,5.0
422.0,413.0,9.0,163.0,161.0,2.0,87.0,74.0,39.0,38.0,31.0,33.0,27.0,28.0,75.0,79.0,2021,5,2.0
388.0,422.0,-34.0,136.0,163.0,-27.0,84.0,87.0,41.0,39.0,27.0,31.0,27.0,27.0,74.0,75.0,2022,5,2.0
322.0,332.0,-10.0,132.0,137.0,-5.0,72.0,72.0,35.0,39.0,13.0,16.0,12.0,11.0,57.0,57.0,2020,6,3.0
310.0,322.0,-12.0,137.0,132.0,5.0,56.0,72.0,41.0,35.0,15.0,13.0,3.0,12.0,58.0,57.0,2021,6,3.0
264.0,310.0,-46.0,133.0,137.0,-4.0,49.0,56.0,25.0,41.0,9.0,15.0,3.0,3.0,45.0,58.0,2022,6,3.0
444.0,428.0,16.0,203.0,196.0,7.0,80.0,80.0,41.0,35.0,35.0,35.0,23.0,22.0,62.0,60.0,2020,7,5.0
456.0,444.0,12.0,208.0,203.0,5.0,86.0,80.0,42.0,41.0,35.0,35.0,23.0,23.0,62.0,62.0,2021,7,2.0
416.0,456.0,-40.0,181.0,208.0,-27.0,86.0,86.0,37.0,42.0,35.0,35.0,22.0,23.0,54.0,62.0,2022,7,2.0
365.0,200.0,165.0,157.0,138.0,19.0,68.0,11.0,42.0,27.0,19.0,0.0,23.0,21.0,56.0,3.0,2020,8,5.0
394.0,365.0,29.0,156.0,157.0,-1.0,81.0,68.0,43.0,42.0,35.0,19.0,25.0,23.0,54.0,56.0,2021,8,3.0
393.0,394.0,-1.0,155.0,156.0,-1.0,84.0,81.0,40.0,43.0,35.0,35.0,22.0,25.0,58.0,54.0,2022,8,3.0
435.0,431.0,4.0,173.0,174.0,-1.0,80.0,77.0,38.0,38.0,31.0,32.0,29.0,26.0,83.0,83.0,2020,9,5.0
461.0,435.0,26.0,187.0,173.0,14.0,86.0,80.0,43.0,38.0,35.0,31.0,27.0,29.0,83.0,83.0,2021,9,5.0
420.0,461.0,-41.0,154.0,187.0,-33.0,84.0,86.0,37.0,43.0,34.0,35.0,30.0,27.0,81.0,83.0,2022,9,2.0
419.0,385.0,34.0,179.0,182.0,-3.0,80.0,78.0,38.0,37.0,33.0,22.0,30.0,7.0,60.0,60.0,2020,10,3.0
264.0,419.0,-155.0,153.0,179.0,-26.0,36.0,80.0,11.0,38.0,10.0,33.0,12.0,30.0,42.0,60.0,2021,10,4.0
